,BUILDERS,SIZE,PROPERTY_TYPE,PROPERTY_ADDRESS,CITY,AREA,RATE_SQFT,PRICE,CONSTRUCTION_STATUS,LISTED_BY
0,Ashoka Builders India Private LimitedBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,1870 ,"9,499", 1.77 Cr,Under Construction,BUILDER
1,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3587 ,"8,300", 2.97 Cr,Under Construction,BUILDER
2,Raghuram Pradeep Constructions India LLPBUILDER0,4 BHK,Apartment,Puppalaguda,Hyderabad,3715 ,"10,891", 4.04 Cr,Under Construction,BUILDER
3,Kalyan Infra ProjectsBUILDER0,3 BHK,Apartment,Manchirevula,Hyderabad,2150 ,"6,800", 1.46 Cr,Ready to move,BUILDER
4,Risinia BuildersBUILDER0,2 BHK,Apartment,Pragathi,Hyderabad,1312 ,"5,599", 73.45 L,Under Construction,BUILDER
5,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,1144 ,"4,200", 48.04 L,Under Construction,BUILDER
6,APR GroupBUILDER0,4 BHK,Independent,Kollur,Hyderabad,3860 ,"10,000", 3.86 Cr,Under Construction,BUILDER
7,Praneeth GroupBUILDER0,3 BHK,Apartment,Hyder,Hyderabad,2257 ,"7,599", 1.71 Cr,Under Construction,BUILDER
8,GHR InfraBUILDER0,3 BHK,Apartment,Kollur,Hyderabad,1775 ,"5,999", 1.06 Cr,Under Construction,BUILDER
9,Greenmark DevelopersBUILDER0,5 BHK,Villa,Kollur,Hyderabad,6111 ,"12,142", 7.41 Cr,Under Construction,BUILDER
10,Hallmark BuildersBUILDER0,3 BHK,Apartment,Narsingi,Hyderabad,2255 ,"8,299", 1.87 Cr,Under Construction,BUILDER
11,Aavasa ConstructionsBUILDER0,2 BHK,Apartment,LB,Hyderabad,1310 ,"7,000", 91.7 L,Ready to move,BUILDER
12,Theme Ambience InfrastructuresBUILDER0,3 BHK,Apartment,Attapur,Hyderabad,2090 ,"7,499", 1.56 Cr,Under Construction,BUILDER
13,Signature AvenuesBUILDER0,3 BHK,Apartment,Kollur,Hyderabad,1900 ,"5,999", 1.13 Cr,Under Construction,BUILDER
14,GK Builders DevelopersBUILDER0,3 BHK,Apartment,Yapral,Hyderabad,1735 ,"5,400", 93.69 L,Ready to move,BUILDER
15,Candeur Developers And BuildersBUILDER0,3 BHK,Apartment,Miyapur,Hyderabad,2004 ,"7,600", 1.52 Cr,Under Construction,BUILDER
16,BSCPL Infrastructure LtdBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1965 ,"13,587", 2.66 Cr,Ready to move,BUILDER
17,Merlion BuildersBUILDER0,3 BHK,Apartment,Nizampet,Hyderabad,1551 ,"6,002", 93.03 L,Ready to move,BUILDER
18,Vajra Builders And DevelopersBUILDER0,5 BHK,Villa,Dundigal,Hyderabad,2624 ,"6,500", 1.7 Cr,Under Construction,BUILDER
19,Riddhi GroupBUILDER0,3 BHK,Apartment,Jeedimetla,Hyderabad,1840 ,"5,950", 1.09 Cr,Under Construction,BUILDER
20,Maram Infra Projects PvtLtdBUILDER0,2 BHK,Apartment,Pocharam,Hyderabad,1245 ,"5,055", 62.93 L,Under Construction,BUILDER
21,Anuhar Homes Pvt LtdBUILDER0,3 BHK,Apartment,Miyapur,Hyderabad,1932 ,"6,500", 1.25 Cr,Ready to move,BUILDER
22,Salarpuria SattvaBUILDER0,3 BHK,Apartment,Shaikpet,Hyderabad,2285 ,"10,540", 2.4 Cr,Ready to move,BUILDER
23,EIPL GroupBUILDER0,3 BHK,Apartment,Puppalaguda,Hyderabad,2350 ,"7,800", 1.83 Cr,Under Construction,BUILDER
24,Vasavi GroupBUILDER0,3 BHK,Apartment,Jeedimetla,Hyderabad,1965 ,"7,400", 1.45 Cr,Under Construction,BUILDER
25,Mahaveer GroupBUILDER0,4 BHK,Apartment,Attapur,Hyderabad,5345 ,"8,500", 4.54 Cr,Under Construction,BUILDER
26,Sri Aditya SquaresBUILDER0,4 BHK,Villa,Ramachandrapuram,Hyderabad,3392 ,"7,999", 2.71 Cr,Under Construction,BUILDER
27,Sumadhura Infracon Pvt LtdBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,1670 ,"13,592", 2.26 Cr,Under Construction,BUILDER
28,Cyber City OrianaBUILDER0,3 BHK,Apartment,Kukatpally,Hyderabad,1480 ,"8,399", 1.24 Cr,Under Construction,BUILDER
29,Jain ConstructionsBUILDER0,2 BHK,Apartment,Kompally,Hyderabad,1090 ,"6,754", 73.56 L,Under Construction,BUILDER
30,Ashoka Builders India Private LimitedBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,1870 ,"9,499", 1.77 Cr,Under Construction,BUILDER
31,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3587 ,"8,300", 2.97 Cr,Under Construction,BUILDER
32,Raghuram Pradeep Constructions India LLPBUILDER0,3 BHK,Apartment,Puppalaguda,Hyderabad,2165 ,"9,901", 2.14 Cr,Under Construction,BUILDER
33,Kalyan Infra ProjectsBUILDER0,3 BHK,Apartment,Manchirevula,Hyderabad,1965 ,"6,800", 1.33 Cr,Ready to move,BUILDER
34,Risinia BuildersBUILDER0,3 BHK,Apartment,Bachupally,Hyderabad,1935 ,"5,999", 1.16 Cr,Ready to move,BUILDER
35,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,1239 ,"4,200", 52.03 L,Under Construction,BUILDER
36,APR GroupBUILDER0,4 BHK,Independent,Kollur,Hyderabad,3712 ,"10,000", 3.71 Cr,Under Construction,BUILDER
37,Praneeth GroupBUILDER0,2 BHK,Apartment,Hyder,Hyderabad,1305 ,"7,599", 99.16 L,Under Construction,BUILDER
38,GHR InfraBUILDER0,3 BHK,Apartment,Kollur,Hyderabad,1775 ,"5,999", 1.06 Cr,Under Construction,BUILDER
39,Greenmark DevelopersBUILDER0,5 BHK,Villa,Kollur,Hyderabad,6111 ,"12,142", 7.41 Cr,Under Construction,BUILDER
40,Hallmark BuildersBUILDER0,3 BHK,Apartment,Gandipet,Hyderabad,2040 ,"9,000", 1.83 Cr,Under Construction,BUILDER
41,Aavasa ConstructionsBUILDER0,3 BHK,Apartment,LB,Hyderabad,2345 ,"7,000", 1.64 Cr,Ready to move,BUILDER
42,Theme Ambience InfrastructuresBUILDER0,4 BHK,Apartment,Attapur,Hyderabad,2655 ,"7,499", 1.99 Cr,Under Construction,BUILDER
43,Signature AvenuesBUILDER0,2 BHK,Apartment,Kollur,Hyderabad,1550 ,"5,999", 92.98 L,Under Construction,BUILDER
44,GK Builders DevelopersBUILDER0,2 BHK,Apartment,Yapral,Hyderabad,1220 ,"5,400", 65.88 L,Ready to move,BUILDER
45,Candeur Developers And BuildersBUILDER0,3 BHK,Apartment,Miyapur,Hyderabad,2004 ,"7,600", 1.52 Cr,Under Construction,BUILDER
46,BSCPL Infrastructure LtdBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1965 ,"13,587", 2.66 Cr,Ready to move,BUILDER
47,Merlion BuildersBUILDER0,3 BHK,Apartment,Nizampet,Hyderabad,1854 ,"6,002", 1.11 Cr,Ready to move,BUILDER
48,Vajra Builders And DevelopersBUILDER0,5 BHK,Villa,Dundigal,Hyderabad,2624 ,"6,500", 1.7 Cr,Under Construction,BUILDER
49,Riddhi GroupBUILDER0,3 BHK,Apartment,Jeedimetla,Hyderabad,1840 ,"5,950", 1.09 Cr,Under Construction,BUILDER
50,Maram Infra Projects PvtLtdBUILDER0,2 BHK,Apartment,Pocharam,Hyderabad,1245 ,"5,055", 62.93 L,Under Construction,BUILDER
51,Anuhar Homes Pvt LtdBUILDER0,2 BHK,Apartment,Miyapur,Hyderabad,1551 ,"6,500", 1 Cr,Ready to move,BUILDER
52,Salarpuria SattvaBUILDER0,3 BHK,Apartment,Shaikpet,Hyderabad,2285 ,"10,540", 2.4 Cr,Ready to move,BUILDER
53,EIPL GroupBUILDER0,3 BHK,Apartment,Puppalaguda,Hyderabad,2215 ,"7,800", 1.72 Cr,Under Construction,BUILDER
54,Vasavi GroupBUILDER0,3 BHK,Apartment,Jeedimetla,Hyderabad,1965 ,"7,400", 1.45 Cr,Under Construction,BUILDER
55,Mahaveer GroupBUILDER0,3 BHK,Apartment,Attapur,Hyderabad,2680 ,"8,500", 2.27 Cr,Under Construction,BUILDER
56,Sri Aditya SquaresBUILDER0,4 BHK,Villa,Ramachandrapuram,Hyderabad,4141 ,"7,999", 3.31 Cr,Under Construction,BUILDER
57,Sumadhura Infracon Pvt LtdBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,3000 ,"13,592", 4.07 Cr,Under Construction,BUILDER
58,Cyber City OrianaBUILDER0,2 BHK,Apartment,Kukatpally,Hyderabad,1250 ,"8,399", 1.04 Cr,Under Construction,BUILDER
59,Jain ConstructionsBUILDER0,2 BHK,Apartment,Kompally,Hyderabad,1090 ,"6,754", 73.56 L,Under Construction,BUILDER
60,Ashoka Builders India Private LimitedBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,1695 ,"9,499", 1.61 Cr,Under Construction,BUILDER
61,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3500 ,"8,300", 2.9 Cr,Under Construction,BUILDER
62,Raghuram Pradeep Constructions India LLPBUILDER0,3 BHK,Apartment,Puppalaguda,Hyderabad,2045 ,"9,920", 2.02 Cr,Under Construction,BUILDER
63,Kalyan Infra ProjectsBUILDER0,3 BHK,Apartment,Manchirevula,Hyderabad,1640 ,"6,800", 1.11 Cr,Ready to move,BUILDER
64,Risinia BuildersBUILDER0,3 BHK,Apartment,Bachupally,Hyderabad,2223 ,"5,999", 1.33 Cr,Ready to move,BUILDER
65,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,1065 ,"4,202", 44.71 L,Under Construction,BUILDER
66,APR GroupBUILDER0,4 BHK,Independent,Kollur,Hyderabad,3700 ,"10,000", 3.7 Cr,Under Construction,BUILDER
67,Praneeth GroupBUILDER0,3 BHK,Apartment,Hyder,Hyderabad,1778 ,"7,599", 1.35 Cr,Under Construction,BUILDER
68,GHR InfraBUILDER0,2 BHK,Apartment,Kollur,Hyderabad,1295 ,"5,999", 77.68 L,Under Construction,BUILDER
69,Greenmark DevelopersBUILDER0,4 BHK,Villa,Kollur,Hyderabad,4222 ,"10,895", 4.59 Cr,Under Construction,BUILDER
70,Hallmark BuildersBUILDER0,3 BHK,Apartment,Gandipet,Hyderabad,2040 ,"9,000", 1.83 Cr,Under Construction,BUILDER
71,Aavasa ConstructionsBUILDER0,3 BHK,Apartment,LB,Hyderabad,1535 ,"7,000", 1.07 Cr,Ready to move,BUILDER
72,Theme Ambience InfrastructuresBUILDER0,3 BHK,Apartment,Attapur,Hyderabad,2170 ,"7,499", 1.62 Cr,Under Construction,BUILDER
73,Signature AvenuesBUILDER0,3 BHK,Apartment,Kollur,Hyderabad,1820 ,"5,999", 1.09 Cr,Under Construction,BUILDER
74,GK Builders DevelopersBUILDER0,3 BHK,Apartment,Yapral,Hyderabad,1650 ,"5,400", 89.1 L,Ready to move,BUILDER
75,Candeur Developers And BuildersBUILDER0,3 BHK,Apartment,Miyapur,Hyderabad,1711 ,"7,600", 1.3 Cr,Under Construction,BUILDER
76,BSCPL Infrastructure LtdBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,2290 ,"13,587", 3.11 Cr,Ready to move,BUILDER
77,Merlion BuildersBUILDER0,3 BHK,Apartment,Nizampet,Hyderabad,1745 ,"6,000", 1.04 Cr,Ready to move,BUILDER
78,Vajra Builders And DevelopersBUILDER0,5 BHK,Villa,Dundigal,Hyderabad,2624 ,"6,500", 1.7 Cr,Under Construction,BUILDER
79,Riddhi GroupBUILDER0,3 BHK,Apartment,Jeedimetla,Hyderabad,1975 ,"5,950", 1.17 Cr,Under Construction,BUILDER
80,Maram Infra Projects PvtLtdBUILDER0,3 BHK,Apartment,Pocharam,Hyderabad,1510 ,"5,055", 76.33 L,Under Construction,BUILDER
81,Anuhar Homes Pvt LtdBUILDER0,3 BHK,Apartment,Miyapur,Hyderabad,1676 ,"6,500", 1.08 Cr,Ready to move,BUILDER
82,Salarpuria SattvaBUILDER0,2 BHK,Apartment,Shaikpet,Hyderabad,1495 ,"9,640", 1.44 Cr,Ready to move,BUILDER
83,EIPL GroupBUILDER0,3 BHK,Apartment,Puppalaguda,Hyderabad,2300 ,"7,800", 1.79 Cr,Under Construction,BUILDER
84,Vasavi GroupBUILDER0,3 BHK,Apartment,Jeedimetla,Hyderabad,1900 ,"7,400", 1.4 Cr,Under Construction,BUILDER
85,Mahaveer GroupBUILDER0,4 BHK,Apartment,Attapur,Hyderabad,5345 ,"8,500", 4.54 Cr,Under Construction,BUILDER
86,Sri Aditya SquaresBUILDER0,4 BHK,Villa,Ramachandrapuram,Hyderabad,3760 ,"7,999", 3 Cr,Under Construction,BUILDER
87,Sumadhura Infracon Pvt LtdBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,2010 ,"13,592", 2.73 Cr,Under Construction,BUILDER
88,Cyber City OrianaBUILDER0,3 BHK,Apartment,Kukatpally,Hyderabad,2380 ,"8,399", 1.99 Cr,Under Construction,BUILDER
89,Jain ConstructionsBUILDER0,4 BHK,Apartment,Kompally,Hyderabad,2255 ,"6,751", 1.52 Cr,Under Construction,BUILDER
90,M KartheekAGENT0,3 BHK,Apartment,Tellapur,Hyderabad,2150 ,"7,299", 1.56 Cr,Under Construction,AGENT
91,Maaruthi GroupAGENT0,2 BHK,ApartmentPragathi,Pragathi,Hyderabad,1195 ,"4,800", 57.36 L,Ready to move,AGENT
92,sellerVERIFIED OWNER,3 BHK,ApartmentMoosarambagh,Moosarambagh,Hyderabad,2200 ,"4,500", 99 L,Ready to move,VERIFIED OWNER
93,sellerVERIFIED OWNER,3 BHK,Villa,Kollur,Hyderabad,1800 ,"5,500", 99 L,Under Construction,VERIFIED OWNER
94,sellerVERIFIED OWNER,2 BHK,Apartment,Attapur,Hyderabad,1040 ,"7,596", 79 L,Ready to move,VERIFIED OWNER
95,sellerVERIFIED OWNER,2 BHK,Apartment,Adibatla,Hyderabad,1250 ,"2,700", 33.75 L,Under Construction,VERIFIED OWNER
96,sellerVERIFIED OWNER,2 BHK,ApartmentBorabanda,Borabanda,Hyderabad,1050 ,"6,190", 65 L,Ready to move,VERIFIED OWNER
97,sellerVERIFIED OWNER,3 BHK,Villa,Velmala,Hyderabad,2385 ,"6,289", 1.5 Cr,Under Construction,VERIFIED OWNER
98,sellerVERIFIED OWNER,3 BHK,ApartmentGandi,Gandi,Hyderabad,1500 ,"4,133", 62 L,Under Construction,VERIFIED OWNER
99,sellerVERIFIED OWNER,3 BHK,ApartmentChandanagar,Chandanagar,Hyderabad,1300 ,"6,538", 85 L,Ready to move,VERIFIED OWNER
100,Ashoka Builders India Private LimitedBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,1695 ,"9,499", 1.61 Cr,Under Construction,BUILDER
101,Ashoka Builders India Private LimitedBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,1980 ,"9,799", 1.94 Cr,Under Construction,BUILDER
102,Ashoka Builders India Private LimitedBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,2220 ,"9,803", 2.17 Cr,Under Construction,BUILDER
103,Ashoka Builders India Private LimitedBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,2210 ,"9,799", 2.16 Cr,Under Construction,BUILDER
104,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3500 ,"8,300", 2.9 Cr,Under Construction,BUILDER
105,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3755 ,"8,300", 3.11 Cr,Under Construction,BUILDER
106,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3755 ,"8,300", 3.11 Cr,Under Construction,BUILDER
107,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3479 ,"8,300", 2.88 Cr,Under Construction,BUILDER
108,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3479 ,"8,300", 2.88 Cr,Under Construction,BUILDER
109,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,4300 ,"8,300", 3.56 Cr,Under Construction,BUILDER
110,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,4300 ,"8,300", 3.56 Cr,Under Construction,BUILDER
111,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3340 ,"8,300", 2.77 Cr,Under Construction,BUILDER
112,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3340 ,"8,300", 2.77 Cr,Under Construction,BUILDER
113,Raghuram Pradeep Constructions India LLPBUILDER0,4 BHK,Apartment,Puppalaguda,Hyderabad,3510 ,"11,016", 3.86 Cr,Under Construction,BUILDER
114,Raghuram Pradeep Constructions India LLPBUILDER0,3 BHK,Apartment,Puppalaguda,Hyderabad,1725 ,"9,982", 1.72 Cr,Under Construction,BUILDER
115,APR GroupBUILDER0,4 BHK,Independent,Kollur,Hyderabad,3806 ,"10,000", 3.8 Cr,Under Construction,BUILDER
116,APR GroupBUILDER0,4 BHK,Independent,Kollur,Hyderabad,3405 ,"10,000", 3.4 Cr,Under Construction,BUILDER
117,Risinia BuildersBUILDER0,3 BHK,Apartment,Bachupally,Hyderabad,1673 ,"5,999", 1 Cr,Ready to move,BUILDER
118,Risinia BuildersBUILDER0,3 BHK,Apartment,Bachupally,Hyderabad,1843 ,"5,999", 1.1 Cr,Ready to move,BUILDER
119,Risinia BuildersBUILDER0,2 BHK,Apartment,Bachupally,Hyderabad,1261 ,"5,999", 75.64 L,Ready to move,BUILDER
120,Kalyan Infra ProjectsBUILDER0,3 BHK,Apartment,Manchirevula,Hyderabad,2055 ,"6,800", 1.39 Cr,Ready to move,BUILDER
121,Kalyan Infra ProjectsBUILDER0,3 BHK,Apartment,Manchirevula,Hyderabad,1795 ,"6,800", 1.22 Cr,Ready to move,BUILDER
122,Kalyan Infra ProjectsBUILDER0,3 BHK,Apartment,Manchirevula,Hyderabad,1725 ,"6,800", 1.17 Cr,Ready to move,BUILDER
123,Risinia BuildersBUILDER0,3 BHK,Apartment,Bachupally,Hyderabad,1673 ,"5,999", 1 Cr,Ready to move,BUILDER
124,Risinia BuildersBUILDER0,3 BHK,Apartment,Bachupally,Hyderabad,1843 ,"5,999", 1.1 Cr,Ready to move,BUILDER
125,Risinia BuildersBUILDER0,2 BHK,Apartment,Bachupally,Hyderabad,1261 ,"5,999", 75.64 L,Ready to move,BUILDER
126,Risinia BuildersBUILDER0,3 BHK,Apartment,Bachupally,Hyderabad,1651 ,"5,999", 99.04 L,Ready to move,BUILDER
127,Risinia BuildersBUILDER0,3 BHK,Apartment,Bachupally,Hyderabad,2126 ,"5,999", 1.27 Cr,Ready to move,BUILDER
128,Risinia BuildersBUILDER0,2 BHK,Apartment,Bachupally,Hyderabad,1388 ,"5,999", 83.26 L,Ready to move,BUILDER
129,Risinia BuildersBUILDER0,3 BHK,Apartment,Bachupally,Hyderabad,1527 ,"5,999", 91.6 L,Ready to move,BUILDER
130,Risinia BuildersBUILDER0,3 BHK,Apartment,Bachupally,Hyderabad,1928 ,"5,999", 1.15 Cr,Ready to move,BUILDER
131,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,988 ,"4,200", 41.49 L,Under Construction,BUILDER
132,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,1127 ,"4,200", 47.33 L,Under Construction,BUILDER
133,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,960 ,"4,200", 40.32 L,Under Construction,BUILDER
134,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,1126 ,"4,200", 47.29 L,Under Construction,BUILDER
135,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,1026 ,"4,200", 43.09 L,Under Construction,BUILDER
136,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,1008 ,"4,200", 42.33 L,Under Construction,BUILDER
137,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,996 ,"4,200", 41.83 L,Under Construction,BUILDER
138,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,848 ,"4,200", 35.61 L,Under Construction,BUILDER
139,APR GroupBUILDER0,4 BHK,Independent,Kollur,Hyderabad,3806 ,"10,000", 3.8 Cr,Under Construction,BUILDER
140,APR GroupBUILDER0,4 BHK,Independent,Kollur,Hyderabad,3405 ,"10,000", 3.4 Cr,Under Construction,BUILDER
141,Ashoka Builders India Private LimitedBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,1695 ,"9,499", 1.61 Cr,Under Construction,BUILDER
142,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3500 ,"8,300", 2.9 Cr,Under Construction,BUILDER
143,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3755 ,"8,300", 3.11 Cr,Under Construction,BUILDER
144,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3755 ,"8,300", 3.11 Cr,Under Construction,BUILDER
145,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3479 ,"8,300", 2.88 Cr,Under Construction,BUILDER
146,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3479 ,"8,300", 2.88 Cr,Under Construction,BUILDER
147,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,4300 ,"8,300", 3.56 Cr,Under Construction,BUILDER
148,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,4300 ,"8,300", 3.56 Cr,Under Construction,BUILDER
149,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3340 ,"8,300", 2.77 Cr,Under Construction,BUILDER
150,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3340 ,"8,300", 2.77 Cr,Under Construction,BUILDER
151,Raghuram Pradeep Constructions India LLPBUILDER0,4 BHK,Apartment,Puppalaguda,Hyderabad,3510 ,"11,016", 3.86 Cr,Under Construction,BUILDER
152,Raghuram Pradeep Constructions India LLPBUILDER0,3 BHK,Apartment,Puppalaguda,Hyderabad,1725 ,"9,982", 1.72 Cr,Under Construction,BUILDER
153,Praneeth GroupBUILDER0,2 BHK,Apartment,Hyder,Hyderabad,1317 ,"7,599", 1 Cr,Under Construction,BUILDER
154,Praneeth GroupBUILDER0,2 BHK,Apartment,Hyder,Hyderabad,1356 ,"7,599", 1.03 Cr,Under Construction,BUILDER
155,Praneeth GroupBUILDER0,3 BHK,Apartment,Hyder,Hyderabad,1766 ,"7,599", 1.34 Cr,Under Construction,BUILDER
156,Praneeth GroupBUILDER0,2 BHK,Apartment,Hyder,Hyderabad,1365 ,"7,599", 1.03 Cr,Under Construction,BUILDER
157,Praneeth GroupBUILDER0,2 BHK,Apartment,Hyder,Hyderabad,1362 ,"7,599", 1.03 Cr,Under Construction,BUILDER
158,Praneeth GroupBUILDER0,3 BHK,Apartment,Hyder,Hyderabad,1869 ,"7,599", 1.42 Cr,Under Construction,BUILDER
159,Praneeth GroupBUILDER0,3 BHK,Apartment,Hyder,Hyderabad,1670 ,"7,599", 1.26 Cr,Under Construction,BUILDER
160,Praneeth GroupBUILDER0,3 BHK,Apartment,Hyder,Hyderabad,2013 ,"7,599", 1.52 Cr,Under Construction,BUILDER
161,Praneeth GroupBUILDER0,3 BHK,Apartment,Hyder,Hyderabad,3130 ,"7,599", 2.37 Cr,Under Construction,BUILDER
162,Praneeth GroupBUILDER0,2 BHK,Apartment,Hyder,Hyderabad,1550 ,"7,599", 1.17 Cr,Under Construction,BUILDER
163,Praneeth GroupBUILDER0,3 BHK,Apartment,Hyder,Hyderabad,2623 ,"7,599", 1.99 Cr,Under Construction,BUILDER
164,Praneeth GroupBUILDER0,3 BHK,Apartment,Hyder,Hyderabad,2630 ,"7,599", 1.99 Cr,Under Construction,BUILDER
165,Greenmark DevelopersBUILDER0,4 BHK,Villa,Kollur,Hyderabad,4222 ,"10,895", 4.59 Cr,Under Construction,BUILDER
166,Greenmark DevelopersBUILDER0,4 BHK,Villa,Kollur,Hyderabad,4455 ,"10,887", 4.85 Cr,Under Construction,BUILDER
167,Greenmark DevelopersBUILDER0,4 BHK,Villa,Kollur,Hyderabad,4455 ,"10,887", 4.85 Cr,Under Construction,BUILDER
168,Greenmark DevelopersBUILDER0,5 BHK,Villa,Kollur,Hyderabad,5111 ,"12,150", 6.2 Cr,Under Construction,BUILDER
169,Greenmark DevelopersBUILDER0,5 BHK,Villa,Kollur,Hyderabad,5111 ,"12,150", 6.2 Cr,Under Construction,BUILDER
170,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1842 ,"9,904", 1.82 Cr,Ready to move,BUILDER
171,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1770 ,"9,900", 1.75 Cr,Ready to move,BUILDER
172,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1801 ,"9,905", 1.78 Cr,Ready to move,BUILDER
173,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1686 ,"9,905", 1.66 Cr,Ready to move,BUILDER
174,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1297 ,"9,907", 1.28 Cr,Ready to move,BUILDER
175,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,2509 ,"9,900", 2.48 Cr,Ready to move,BUILDER
176,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,2491 ,"9,903", 2.46 Cr,Ready to move,BUILDER
177,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1882 ,"9,905", 1.86 Cr,Ready to move,BUILDER
178,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,2224 ,"9,900", 2.2 Cr,Ready to move,BUILDER
179,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1766 ,"9,905", 1.74 Cr,Ready to move,BUILDER
180,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1632 ,"9,900", 1.61 Cr,Ready to move,BUILDER
181,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,2235 ,"9,900", 2.21 Cr,Ready to move,BUILDER
182,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1906 ,"9,905", 1.88 Cr,Ready to move,BUILDER
183,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,2229 ,"9,904", 2.2 Cr,Ready to move,BUILDER
184,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1852 ,"9,904", 1.83 Cr,Ready to move,BUILDER
185,GHR InfraBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1922 ,"9,900", 1.9 Cr,Ready to move,BUILDER
