,BUILDERS,SIZE,PROPERTY_TYPE,PROPERTY_ADDRESS,CITY,AREA,RATE_SQFT,PRICE,CONSTRUCTION_STATUS,LISTED_BY
1767,ProptigerAGENT0,3 BHK,Apartment,Sholinganallur,Chennai,1123 ,"4,950", 55.58 L,Under Construction,AGENT
1768,ProptigerAGENT0,3 BHK,Apartment,Sholinganallur,Chennai,1127 ,"4,950", 75.97 L,Under Construction,AGENT
1769,ProptigerAGENT0,3 BHK,Apartment,Sholinganallur,Chennai,1129 ,"4,950", 76.11 L,Under Construction,AGENT
1770,ProptigerAGENT0,3 BHK,Apartment,Sholinganallur,Chennai,1134 ,"4,950", 78 L,Under Construction,AGENT
1771,ProptigerAGENT0,3 BHK,Apartment,Sholinganallur,Chennai,1129 ,"4,750", 75.31 L,Under Construction,AGENT
1772,ProptigerAGENT0,3 BHK,Apartment,Mogappair,Chennai,1889 ,"6,970", 1.31 Cr,Ready to move,AGENT
1773,ProptigerAGENT0,3 BHK,Apartment,Mogappair,Chennai,1970 ,"6,970", 1.37 Cr,Ready to move,AGENT
1774,ProptigerAGENT0,3 BHK,Apartment,Mogappair,Chennai,2000 ,"6,970", 1.39 Cr,Ready to move,AGENT
1775,ProptigerAGENT0,3 BHK,Apartment,Mogappair,Chennai,1894 ,"6,970", 1.32 Cr,Ready to move,AGENT
1776,ProptigerAGENT0,3 BHK,Apartment,Mogappair,Chennai,1991 ,"6,970", 1.38 Cr,Ready to move,AGENT
1777,ProptigerAGENT0,3 BHK,Apartment,Mogappair,Chennai,1989 ,"6,970", 1.38 Cr,Ready to move,AGENT
1778,ProptigerAGENT0,4 BHK,Apartment,Mogappair,Chennai,2580 ,"6,970", 1.79 Cr,Ready to move,AGENT
1779,ProptigerAGENT0,4 BHK,Apartment,Mogappair,Chennai,2600 ,"6,970", 1.81 Cr,Ready to move,AGENT
1780,ProptigerAGENT0,4 BHK,Apartment,Mogappair,Chennai,2598 ,"6,970", 1.81 Cr,Ready to move,AGENT
1781,ProptigerAGENT0,3 BHK,Apartment,Mogappair,Chennai,1880 ,"6,970", 1.31 Cr,Ready to move,AGENT
1782,ProptigerAGENT0,2 BHK,Apartment,Navallur,Chennai,1295 ,"6,350", 82.23 L,Under Construction,AGENT
1783,ProptigerAGENT0,2 BHK,Apartment,Navallur,Chennai,1298 ,"6,350", 96.96 L,Under Construction,AGENT
1784,ProptigerAGENT0,2 BHK,Apartment,Navallur,Chennai,975 ,"6,350", 74 L,Under Construction,AGENT
1785,ProptigerAGENT0,2 BHK,Apartment,Perungalathur,Chennai,1070 ,"4,995", 53.44 L,Under Construction,AGENT
1786,ProptigerAGENT0,2 BHK,Apartment,Perungalathur,Chennai,1135 ,"4,995", 56.69 L,Under Construction,AGENT
